,model,train_accuracy,val_accuracy,test_accuracy,train_loss,val_loss,test_loss
Our model,<keras.src.engine.sequential.Sequential object at 0x347acc6d0>,0.8235294222831726,0.7149999737739563,0.744940459728241,0.7575171589851379,1.3668735027313232,0.9567078948020935
VGG16,<keras.src.engine.functional.Functional object at 0x17e55eec0>,0.8615546226501465,0.9028571248054504,0.9089285731315613,0.44606512784957886,0.4126094877719879,0.3108460307121277
VGG19,<keras.src.engine.functional.Functional object at 0x3521ae650>,0.14201681315898895,0.1376190483570099,0.14404761791229248,1.9462321996688843,1.9464623928070068,1.9459764957427979
DenseNet121,<keras.src.engine.functional.Functional object at 0x2a5ed7fa0>,0.9820903539657593,0.8590475916862488,0.8687499761581421,0.05185834690928459,0.5321744084358215,0.4809994697570801
DenseNet169,<keras.src.engine.functional.Functional object at 0x3479d4a00>,0.9801995754241943,0.8090476393699646,0.824404776096344,0.05938248336315155,0.7781689167022705,0.6529073119163513
DenseNet201,<keras.src.engine.functional.Functional object at 0x2b55c0100>,0.9917016625404358,0.8823809623718262,0.8857142925262451,0.026702437549829483,0.4969445765018463,0.4600754380226135
